Room#	RoomType	RoomReserved	RoomClean
1		Single/Nonsmoking	0		0
2		Double/Nonsmoking	0		0
3		Double/Nonsmoking	0		0
4		Single/Nonsmoking	0		0
5		Single/Nonsmoking	0		0
6		Double/Nonsmoking	0		0
7		Single/Nonsmoking	0		0
8		Single/Nonsmoking	0		0
9		Double/Nonsmoking	0		0
10		Double/Nonsmoking	0		0
11		Double/Nonsmoking	0		0
12		Single/Nonsmoking	0		0
13		Single/Nonsmoking	0		0
14		Single/Nonsmoking	0		0
15		Single/Nonsmoking	0		0
16		Double/Nonsmoking	0		0
17		Double/Nonsmoking	0		0
18		Single/Nonsmoking	0		0
19		Double/Nonsmoking	0		0
20		Single/Nonsmoking	0		0
21		Single/Nonsmoking	0		0
22		Double/Smoking		0		0
23		Single/Smoking		0		0
24		Double/Smoking		0		0
25		Double/Smoking		0		0
26		Single/Smoking		0		0
27		Single/Smoking		0		0
28		Single/Smoking		0		0
29		Double/Smoking		0		0
30		Double/Smoking		0		0
